"dir_parent","dir_file","dir_id","dir_url"
"on","u-of-t-covid-tracking-webpage","1D4KzZVWz-vw96dxJVJHNpFpXnRh9or5J","https://drive.google.com/drive/folders/1D4KzZVWz-vw96dxJVJHNpFpXnRh9or5J"
"on","vaccine-data","1lHHwSqkW_ZZpcdBaNiUM-H-Q_ynod3jq","https://drive.google.com/drive/folders/1lHHwSqkW_ZZpcdBaNiUM-H-Q_ynod3jq"
"other/can","canada-covid-19-school-case-tracker","1Ssj8EcPDd-yQpCKvDuokrRpwQLkgWUEG","https://drive.google.com/drive/folders/1Ssj8EcPDd-yQpCKvDuokrRpwQLkgWUEG"
"other/can","loblaw-companies-tracker","1uJ7kdicJIHQ2I8QZhHD_I1FNlIO9hkIn","https://drive.google.com/drive/folders/1uJ7kdicJIHQ2I8QZhHD_I1FNlIO9hkIn"
"other/can","mcdonalds-tracker","1gFfSvLQ6DY66YTZtYBMtdiC3wmPgcl2w","https://drive.google.com/drive/folders/1gFfSvLQ6DY66YTZtYBMtdiC3wmPgcl2w"
"other/can","unofficial-covid-alert-dashboard","1tCtgZArFKt1jOwzSvBLguJz2r5TUScPd","https://drive.google.com/drive/folders/1tCtgZArFKt1jOwzSvBLguJz2r5TUScPd"
"other/can","unofficial-covid-alert-dashboard-analysis","1u02hYgE98Mm731AGYm85Iq5nreMX8E3S","https://drive.google.com/drive/folders/1u02hYgE98Mm731AGYm85Iq5nreMX8E3S"
"other/can","unofficial-covid-alert-dashboard-upload-delay","13RWuBGsOqlz1g4qoeUxa58qYY0aUnymK","https://drive.google.com/drive/folders/13RWuBGsOqlz1g4qoeUxa58qYY0aUnymK"
"other/qc","covid-ecoles-quebec-school-list","1wOEm8a6HsHXbCwp0dVCe9iwDa1kymS5o","https://drive.google.com/drive/folders/1wOEm8a6HsHXbCwp0dVCe9iwDa1kymS5o"
"qc","cases-by-region-7-days","1FMpdMDozL9ywLrOR-i0ZF7TAiq5rozqF","https://drive.google.com/drive/folders/1FMpdMDozL9ywLrOR-i0ZF7TAiq5rozqF"
"qc","cases-by-region-7-days-en","10xY0nXr1_kDzeMh-duCepokVg7zSX6I6","https://drive.google.com/drive/folders/10xY0nXr1_kDzeMh-duCepokVg7zSX6I6"
"qc","cases-by-rss-and-rls","1bv4tNVmKUhoRUYsMIubKwEdy7U3fmsF2","https://drive.google.com/drive/folders/1bv4tNVmKUhoRUYsMIubKwEdy7U3fmsF2"
"qc","cases-percentage-by-age-group","1lJhiUMKOoDUwltflhOhtmDnjKpD8-zll","https://drive.google.com/drive/folders/1lJhiUMKOoDUwltflhOhtmDnjKpD8-zll"
