date,outbreak_group,outbreak_subgroup,number_ongoing_outbreaks
11/18/2020,2 Congregate Living,18 Short-term accommodations,2
11/18/2020,2 Congregate Living,22 Congregate other,7
11/18/2020,2 Congregate Living,4 Group Home/Supportive Housing,29
11/18/2020,2 Congregate Living,5 Correctional Facility,2
11/18/2020,2 Congregate Living,6 Shelter,12
11/18/2020,3 Education,10 School - Post-Secondary,2
11/18/2020,3 Education,11 Child care,49
11/18/2020,3 Education,7 School - Elementary,63
11/18/2020,3 Education,8 School - Secondary,20
11/18/2020,3 Education,9 School - Elementary/Secondary,5
11/18/2020,4 Workplace,12 Workplace - Farm,5
11/18/2020,4 Workplace,13 Workplace - Food Processing,19
11/18/2020,4 Workplace,14 Workplace - Other,127
11/18/2020,4 Workplace,15 Retail,20
11/18/2020,4 Workplace,16 Medical/Health Service,7
11/18/2020,5 Recreational,17 Bar/restaurant/nightclub,23
11/18/2020,5 Recreational,19 Recreational fitness,10
11/18/2020,5 Recreational,20 Personal service settings,1
11/18/2020,5 Recreational,21 Other recreation,20
11/18/2020,6 Other/Unknown,23 Other,8
11/18/2020,6 Other/Unknown,24 Unknown,6
11/19/2020,1 Congregate Care,1 Long-Term Care Homes,95
11/19/2020,1 Congregate Care,2 Hospitals,28
11/19/2020,1 Congregate Care,3 Retirement Homes,63
11/19/2020,2 Congregate Living,18 Short-term accommodations,2
11/19/2020,2 Congregate Living,22 Congregate other,7
11/19/2020,2 Congregate Living,4 Group Home/Supportive Housing,26
11/19/2020,2 Congregate Living,5 Correctional Facility,2
11/19/2020,2 Congregate Living,6 Shelter,12
11/19/2020,3 Education,10 School - Post-Secondary,2
11/19/2020,3 Education,11 Child care,50
11/19/2020,3 Education,7 School - Elementary,65
11/19/2020,3 Education,8 School - Secondary,19
11/19/2020,3 Education,9 School - Elementary/Secondary,5
11/19/2020,4 Workplace,12 Workplace - Farm,5
11/19/2020,4 Workplace,13 Workplace - Food Processing,19
11/19/2020,4 Workplace,14 Workplace - Other,128
11/19/2020,4 Workplace,15 Retail,19
11/19/2020,4 Workplace,16 Medical/Health Service,7
11/19/2020,5 Recreational,17 Bar/restaurant/nightclub,22
11/19/2020,5 Recreational,19 Recreational fitness,10
11/19/2020,5 Recreational,21 Other recreation,22
11/19/2020,6 Other/Unknown,23 Other,10
11/19/2020,6 Other/Unknown,24 Unknown,6
11/20/2020,1 Congregate Care,1 Long-Term Care Homes,96
11/20/2020,1 Congregate Care,2 Hospitals,27
11/20/2020,1 Congregate Care,3 Retirement Homes,64
11/20/2020,2 Congregate Living,18 Short-term accommodations,2
11/20/2020,2 Congregate Living,22 Congregate other,7
11/20/2020,2 Congregate Living,4 Group Home/Supportive Housing,27
11/20/2020,2 Congregate Living,5 Correctional Facility,2
11/20/2020,2 Congregate Living,6 Shelter,12
11/20/2020,3 Education,10 School - Post-Secondary,2
