Date,Health Authority,Metric,Count
2020-02-14,Vancouver Island,Positivity,0
2020-02-14,Vancouver Island,Turn Around,68
2020-02-15,BC,New Tests,12
2020-02-15,BC,Total Tests,755
2020-02-15,BC,Positivity,0.63
2020-02-15,BC,Turn Around,38
2020-02-15,Fraser,New Tests,1
2020-02-15,Fraser,Total Tests,391
2020-02-15,Fraser,Positivity,0
2020-02-15,Fraser,Turn Around,32
2020-02-15,Interior,New Tests,4
2020-02-15,Interior,Total Tests,35
2020-02-15,Interior,Positivity,9.09
2020-02-15,Interior,Turn Around,56
2020-02-15,Northern,New Tests,0
2020-02-15,Northern,Total Tests,0
2020-02-15,Northern,Positivity,0
2020-02-15,Northern,Turn Around,0
2020-02-15,Unknown,New Tests,0
2020-02-15,Unknown,Total Tests,0
2020-02-15,Unknown,Positivity,0
2020-02-15,Unknown,Turn Around,0
2020-02-15,Vancouver Coastal,New Tests,7
2020-02-15,Vancouver Coastal,Total Tests,254
2020-02-15,Vancouver Coastal,Positivity,0
2020-02-15,Vancouver Coastal,Turn Around,28.6
2020-02-15,Vancouver Island,New Tests,0
2020-02-15,Vancouver Island,Total Tests,0
2020-02-15,Vancouver Island,Positivity,0
2020-02-15,Vancouver Island,Turn Around,0
2020-02-16,BC,New Tests,29
2020-02-16,BC,Total Tests,784
2020-02-16,BC,Positivity,0.59
2020-02-16,BC,Turn Around,64.3
2020-02-16,Fraser,New Tests,8
2020-02-16,Fraser,Total Tests,399
2020-02-16,Fraser,Positivity,0
2020-02-16,Fraser,Turn Around,74
2020-02-16,Interior,New Tests,0
2020-02-16,Interior,Total Tests,0
2020-02-16,Interior,Positivity,0
2020-02-16,Interior,Turn Around,0
2020-02-16,Northern,New Tests,2
2020-02-16,Northern,Total Tests,8
2020-02-16,Northern,Positivity,0
2020-02-16,Northern,Turn Around,104
2020-02-16,Unknown,New Tests,0
2020-02-16,Unknown,Total Tests,0
2020-02-16,Unknown,Positivity,0
2020-02-16,Unknown,Turn Around,0
2020-02-16,Vancouver Coastal,New Tests,11
2020-02-16,Vancouver Coastal,Total Tests,265
2020-02-16,Vancouver Coastal,Positivity,0
2020-02-16,Vancouver Coastal,Turn Around,60.4
2020-02-16,Vancouver Island,New Tests,8
2020-02-16,Vancouver Island,Total Tests,72
2020-02-16,Vancouver Island,Positivity,0
2020-02-16,Vancouver Island,Turn Around,50
2020-02-17,BC,New Tests,4
2020-02-17,BC,Total Tests,788
2020-02-17,BC,Positivity,0.66
2020-02-17,BC,Turn Around,20
2020-02-17,Fraser,New Tests,1
2020-02-17,Fraser,Total Tests,400
2020-02-17,Fraser,Positivity,0
2020-02-17,Fraser,Turn Around,8
2020-02-17,Interior,New Tests,0
2020-02-17,Interior,Total Tests,0
2020-02-17,Interior,Positivity,0
2020-02-17,Interior,Turn Around,0
2020-02-17,Northern,New Tests,0
2020-02-17,Northern,Total Tests,0
