"Reported_Date","Region","Institution","Total_Active_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date"
"2020-07-13","Western","Central North Correctional Centre",1,1,
"2020-07-13","Northern","Kenora Jail",,2,
"2020-07-13","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-14","Northern","Monteith Correctional Centre",,1,
"2020-07-14","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-14","Central","Ontario Correctional Institute",,89,2
"2020-07-14","Toronto","Toronto South Detention Centre",2,9,7
"2020-07-14","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-14","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-14","Eastern","Central East Correctional Centre",,1,1
"2020-07-14","Central","Niagara Detention Centre",,,1
"2020-07-14","Western","Central North Correctional Centre",1,1,
"2020-07-14","Northern","Kenora Jail",,2,
"2020-07-14","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-15","Northern","Monteith Correctional Centre",,1,
"2020-07-15","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-15","Central","Ontario Correctional Institute",,89,2
"2020-07-15","Toronto","Toronto South Detention Centre",2,9,7
"2020-07-15","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-15","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-15","Eastern","Central East Correctional Centre",,1,1
"2020-07-15","Central","Niagara Detention Centre",,,1
"2020-07-15","Western","Central North Correctional Centre",1,1,
"2020-07-15","Northern","Kenora Jail",,2,
"2020-07-15","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-16","Northern","Monteith Correctional Centre",,1,
"2020-07-16","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-16","Central","Ontario Correctional Institute",,89,2
"2020-07-16","Toronto","Toronto South Detention Centre",2,9,7
"2020-07-16","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-16","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-16","Eastern","Central East Correctional Centre",,1,1
"2020-07-16","Central","Niagara Detention Centre",,,1
"2020-07-16","Western","Central North Correctional Centre",1,1,
"2020-07-16","Northern","Kenora Jail",,2,
"2020-07-16","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-19","Northern","Monteith Correctional Centre",,1,
"2020-07-19","Central","Maplehurst Correctional Complex",,6,3
"2020-07-19","Central","Ontario Correctional Institute",,89,2
"2020-07-19","Toronto","Toronto South Detention Centre",2,9,7
"2020-07-19","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-19","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-19","Eastern","Central East Correctional Centre",,1,1
"2020-07-19","Central","Niagara Detention Centre",,,1
"2020-07-19","Western","Central North Correctional Centre",,1,1
"2020-07-19","Northern","Kenora Jail",,2,
"2020-07-19","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-20","Northern","Monteith Correctional Centre",,1,
"2020-07-20","Central","Maplehurst Correctional Complex",,6,3
"2020-07-20","Central","Ontario Correctional Institute",,89,2
"2020-07-20","Toronto","Toronto South Detention Centre",1,10,7
"2020-07-20","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-20","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-20","Eastern","Central East Correctional Centre",,1,1
"2020-07-20","Central","Niagara Detention Centre",,,1
"2020-07-20","Western","Central North Correctional Centre",,1,1
"2020-07-20","Northern","Kenora Jail",,2,
"2020-07-20","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-21","Northern","Monteith Correctional Centre",,1,
"2020-07-21","Central","Maplehurst Correctional Complex",,6,3
"2020-07-21","Central","Ontario Correctional Institute",,89,2
"2020-07-21","Toronto","Toronto South Detention Centre",1,10,7
"2020-07-21","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-21","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-21","Eastern","Central East Correctional Centre",,1,1
"2020-07-21","Central","Niagara Detention Centre",,,1
"2020-07-21","Western","Central North Correctional Centre",,1,1
"2020-07-21","Northern","Kenora Jail",,2,
"2020-07-21","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-22","Northern","Monteith Correctional Centre",,1,
"2020-07-22","Central","Maplehurst Correctional Complex",,6,3
"2020-07-22","Central","Ontario Correctional Institute",,89,2
"2020-07-22","Toronto","Toronto South Detention Centre",1,10,7
"2020-07-22","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-22","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-22","Eastern","Central East Correctional Centre",,1,1
"2020-07-22","Central","Niagara Detention Centre",,,1
"2020-07-22","Western","Central North Correctional Centre",,1,1
"2020-07-22","Northern","Kenora Jail",,2,
"2020-07-22","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-23","Northern","Monteith Correctional Centre",,1,
"2020-07-23","Central","Maplehurst Correctional Complex",,6,3
"2020-07-23","Central","Ontario Correctional Institute",,89,2
"2020-07-23","Toronto","Toronto South Detention Centre",1,10,7
"2020-07-23","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-23","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-23","Eastern","Central East Correctional Centre",,1,1
"2020-07-23","Central","Niagara Detention Centre",,,1
"2020-07-23","Western","Central North Correctional Centre",,1,1
"2020-07-23","Northern","Kenora Jail",,2,
"2020-07-23","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-26","Northern","Monteith Correctional Centre",,1,
"2020-07-26","Central","Maplehurst Correctional Complex",,6,3
"2020-07-26","Central","Ontario Correctional Institute",,89,2
"2020-07-26","Toronto","Toronto South Detention Centre",1,10,7
"2020-07-26","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-26","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-26","Eastern","Central East Correctional Centre",,1,1
"2020-07-26","Central","Niagara Detention Centre",,,1
"2020-07-26","Western","Central North Correctional Centre",,1,1
"2020-07-26","Northern","Kenora Jail",,2,
"2020-07-26","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-27","Northern","Monteith Correctional Centre",,1,
"2020-07-27","Central","Maplehurst Correctional Complex",,6,3
"2020-07-27","Central","Ontario Correctional Institute",,89,2
"2020-07-27","Toronto","Toronto South Detention Centre",1,10,7
"2020-07-27","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-27","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-27","Eastern","Central East Correctional Centre",,1,1
"2020-07-27","Central","Niagara Detention Centre",,,1
"2020-07-27","Western","Central North Correctional Centre",,1,1
"2020-07-27","Northern","Kenora Jail",,2,
"2020-07-27","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-28","Northern","Monteith Correctional Centre",,1,
"2020-07-28","Central","Maplehurst Correctional Complex",,6,3
"2020-07-28","Central","Ontario Correctional Institute",,89,2
"2020-07-28","Toronto","Toronto South Detention Centre",1,10,7
"2020-07-28","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-28","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-28","Eastern","Central East Correctional Centre",,1,1
"2020-07-28","Central","Niagara Detention Centre",,,1
"2020-07-28","Western","Central North Correctional Centre",,1,1
"2020-07-28","Northern","Kenora Jail",,2,
"2020-07-28","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-29","Northern","Monteith Correctional Centre",,1,
"2020-07-29","Central","Maplehurst Correctional Complex",,6,3
"2020-07-29","Central","Ontario Correctional Institute",,89,2
"2020-07-29","Toronto","Toronto South Detention Centre",1,10,7
"2020-07-29","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-29","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-29","Eastern","Central East Correctional Centre",,1,1
"2020-07-29","Central","Niagara Detention Centre",,,1
"2020-07-29","Western","Central North Correctional Centre",,1,1
"2020-07-29","Northern","Kenora Jail",,2,
"2020-07-29","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-30","Northern","Monteith Correctional Centre",,1,
"2020-07-30","Central","Maplehurst Correctional Complex",,6,3
"2020-07-30","Central","Ontario Correctional Institute",,89,2
"2020-07-30","Toronto","Toronto South Detention Centre",,11,7
"2020-07-30","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-30","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-30","Eastern","Central East Correctional Centre",,1,1
"2020-07-30","Central","Niagara Detention Centre",,,1
"2020-07-30","Western","Central North Correctional Centre",,1,1
"2020-07-30","Northern","Kenora Jail",,2,
"2020-07-30","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-03","Northern","Monteith Correctional Centre",,1,
"2020-08-03","Central","Maplehurst Correctional Complex",,6,3
"2020-08-03","Central","Ontario Correctional Institute",,89,2
"2020-08-03","Toronto","Toronto South Detention Centre",,11,7
"2020-08-03","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-03","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-03","Eastern","Central East Correctional Centre",,1,1
"2020-08-03","Central","Niagara Detention Centre",,,1
"2020-08-03","Western","Central North Correctional Centre",,1,1
"2020-08-03","Northern","Kenora Jail",,2,
"2020-08-03","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-04","Northern","Monteith Correctional Centre",,1,
"2020-08-04","Central","Maplehurst Correctional Complex",,6,3
"2020-08-04","Central","Ontario Correctional Institute",,89,2
"2020-08-04","Toronto","Toronto South Detention Centre",,11,7
"2020-08-04","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-04","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-04","Eastern","Central East Correctional Centre",,1,1
"2020-08-04","Central","Niagara Detention Centre",,,1
"2020-08-04","Western","Central North Correctional Centre",,1,1
"2020-08-04","Northern","Kenora Jail",,2,
