Timestamp,Site,Cyclists-Northbound,Cyclists-Southbound,Cyclists-Eastbound,Cyclists-Westbound,Cyclists-Total,Pedestrians-Northbound,Pedestrians-Southbound,Pedestrians-Eastbound,Pedestrians-Westbound,Pedestrians-Total,All-Northbound,All-Southbound,All-Eastbound,All-Westbound,All-Total,Location
05/06/2020 02:30:00 AM,B - Scotia & N of Seven Oaks,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1135 49.9313)
05/05/2020 11:15:00 PM,B - Wolseley & E of Garfield,,,2,0,2,,,2,4,6,,,4,4,8,POINT (-97.177 49.8796)
05/15/2020 08:15:00 AM,B - Assiniboine & E of Rouge,,,0,0,0,,,0,3,3,,,0,3,3,POINT (-97.3003 49.8657)
05/06/2020 08:45:00 AM,B - Wolseley & E of Garfield,,,7,4,11,,,12,5,17,,,19,9,28,POINT (-97.177 49.8796)
05/15/2020 05:15:00 AM,B - Assiniboine & E of Rouge,,,0,0,0,,,2,0,2,,,2,0,2,POINT (-97.3003 49.8657)
05/06/2020 05:45:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,2,0,,,2,2,0,,,2,POINT (-97.1088 49.930400000000006)
05/06/2020 05:30:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1088 49.930400000000006)
05/05/2020 11:30:00 PM,B - Wolseley & E of Garfield,,,1,0,1,,,4,0,4,,,5,0,5,POINT (-97.177 49.8796)
05/06/2020 12:15:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1088 49.930400000000006)
05/12/2020 05:00:00 PM,B - Churchill & E of Eccles S,,,5,2,7,,,7,13,20,,,12,15,27,POINT (-97.116 49.8636)
05/05/2020 10:30:00 AM,B - Wolseley & E of Garfield,,,4,6,10,,,16,9,25,,,20,15,35,POINT (-97.177 49.8796)
05/12/2020 03:30:00 PM,B - Kilkenny & N of Prestwood,11,5,,,16,4,2,,,6,15,7,,,22,POINT (-97.1367 49.7926)
05/06/2020 04:45:00 AM,B - Wolseley & E of Garfield,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.177 49.8796)
05/14/2020 09:15:00 PM,B - Egerton & N of Clonard,1,0,,,1,11,2,,,13,12,2,,,14,POINT (-97.1 49.8666)
05/05/2020 01:45:00 PM,B - Scotia & N of Seven Oaks,4,6,,,10,5,11,,,16,9,17,,,26,POINT (-97.1135 49.9313)
05/14/2020 06:00:00 PM,B - Assiniboine & E of Rouge,,,1,0,1,,,0,1,1,,,1,1,2,POINT (-97.3003 49.8657)
05/05/2020 10:15:00 PM,B - Scotia & N of Seven Oaks,1,2,,,3,0,1,,,1,1,3,,,4,POINT (-97.1135 49.9313)
05/14/2020 06:45:00 PM,B - Assiniboine & E of Rouge,,,0,2,2,,,3,1,4,,,3,3,6,POINT (-97.3003 49.8657)
05/12/2020 06:15:00 AM,B - Churchill & E of Eccles S,,,0,0,0,,,0,4,4,,,0,4,4,POINT (-97.116 49.8636)
04/29/2020 12:00:00 PM,B - Wellington & W of Oak,,,16,17,33,,,28,38,66,,,44,55,99,POINT (-97.18031 49.876514)
04/30/2020 04:45:00 AM,B - Wellington & W of Oak,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.18031 49.876514)
05/12/2020 02:30:00 AM,B - Kilkenny & N of Prestwood,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1367 49.7926)
05/14/2020 10:45:00 PM,B - Assiniboine & E of Rouge,,,0,0,0,,,2,0,2,,,2,0,2,POINT (-97.3003 49.8657)
05/12/2020 01:45:00 AM,B - Churchill & E of Eccles S,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.116 49.8636)
05/06/2020 02:00:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1088 49.930400000000006)
05/01/2020 07:45:00 AM,B - Lyndale & S of Highfield,1,2,,,3,7,8,,,15,8,10,,,18,POINT (-97.135257 49.875265)
05/15/2020 12:00:00 PM,B - Egerton & N of Clonard,1,1,,,2,2,4,,,6,3,5,,,8,POINT (-97.1 49.8666)
05/06/2020 02:15:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1088 49.930400000000006)
05/05/2020 04:15:00 PM,B - Wolseley & E of Garfield,,,23,18,41,,,36,18,54,,,59,36,95,POINT (-97.177 49.8796)
05/12/2020 01:00:00 AM,B - Churchill & E of Eccles S,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.116 49.8636)
05/12/2020 11:15:00 PM,B - Kilkenny & N of Prestwood,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1367 49.7926)
05/12/2020 11:30:00 AM,B - Kilkenny & N of Prestwood,1,2,,,3,5,2,,,7,6,4,,,10,POINT (-97.1367 49.7926)
05/05/2020 04:45:00 PM,A - Wolseley & E of Raglan,,,12,22,34,,,33,32,65,,,45,54,99,POINT (-97.1906 49.8793)
05/12/2020 07:30:00 AM,B - Kilkenny & N of Prestwood,1,0,,,1,4,0,,,4,5,0,,,5,POINT (-97.1367 49.7926)
05/05/2020 11:15:00 AM,B - Wolseley & E of Garfield,,,5,4,9,,,12,10,22,,,17,14,31,POINT (-97.177 49.8796)
05/05/2020 04:30:00 PM,B - Wolseley & E of Garfield,,,15,15,30,,,26,31,57,,,41,46,87,POINT (-97.177 49.8796)
05/05/2020 12:30:00 PM,B - Wolseley & E of Garfield,,,6,6,12,,,25,12,37,,,31,18,49,POINT (-97.177 49.8796)
04/30/2020 05:30:00 PM,B - Lyndale & S of Highfield,6,10,,,16,8,5,,,13,14,15,,,29,POINT (-97.135257 49.875265)
05/12/2020 05:30:00 AM,B - Churchill & E of Eccles S,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.116 49.8636)
05/06/2020 05:30:00 AM,B - Wolseley & E of Garfield,,,0,0,0,,,0,1,1,,,0,1,1,POINT (-97.177 49.8796)
05/05/2020 12:15:00 PM,B - Wolseley & E of Garfield,,,10,1,11,,,23,20,43,,,33,21,54,POINT (-97.177 49.8796)
05/06/2020 02:30:00 PM,C - Kildonan & N of Helmsdale,1,8,,,9,4,1,,,5,5,9,,,14,POINT (-97.1088 49.930400000000006)
05/01/2020 04:00:00 AM,B - Lyndale & S of Highfield,0,0,,,0,1,0,,,1,1,0,,,1,POINT (-97.135257 49.875265)
05/05/2020 12:45:00 PM,B - Wolseley & E of Garfield,,,11,8,19,,,10,25,35,,,21,33,54,POINT (-97.177 49.8796)
05/05/2020 08:00:00 PM,B - Scotia & N of Seven Oaks,14,3,,,17,9,5,,,14,23,8,,,31,POINT (-97.1135 49.9313)
04/30/2020 03:15:00 PM,B - Lyndale & S of Highfield,3,4,,,7,10,5,,,15,13,9,,,22,POINT (-97.135257 49.875265)
05/06/2020 10:15:00 AM,B - Wolseley & E of Garfield,,,7,7,14,,,10,14,24,,,17,21,38,POINT (-97.177 49.8796)
05/12/2020 03:00:00 AM,B - Kilkenny & N of Prestwood,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1367 49.7926)
04/30/2020 01:30:00 PM,B - Lyndale & S of Highfield,2,1,,,3,13,8,,,21,15,9,,,24,POINT (-97.135257 49.875265)
05/12/2020 12:15:00 AM,B - Churchill & E of Eccles S,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.116 49.8636)
05/15/2020 09:45:00 AM,B - Egerton & N of Clonard,1,0,,,1,3,1,,,4,4,1,,,5,POINT (-97.1 49.8666)
05/15/2020 07:15:00 AM,B - Assiniboine & E of Rouge,,,0,0,0,,,5,4,9,,,5,4,9,POINT (-97.3003 49.8657)
04/29/2020 01:15:00 PM,B - Wellington & W of Oak,,,21,24,45,,,28,28,56,,,49,52,101,POINT (-97.18031 49.876514)
05/12/2020 08:45:00 PM,B - Churchill & E of Eccles S,,,1,1,2,,,5,4,9,,,6,5,11,POINT (-97.116 49.8636)
05/06/2020 10:30:00 AM,C - Kildonan & N of Helmsdale,0,1,,,1,4,3,,,7,4,4,,,8,POINT (-97.1088 49.930400000000006)
05/05/2020 11:45:00 PM,B - Wolseley & E of Garfield,,,0,1,1,,,5,0,5,,,5,1,6,POINT (-97.177 49.8796)
05/06/2020 04:15:00 AM,B - Scotia & N of Seven Oaks,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1135 49.9313)
05/05/2020 10:30:00 PM,B - Scotia & N of Seven Oaks,1,0,,,1,0,2,,,2,1,2,,,3,POINT (-97.1135 49.9313)
05/06/2020 03:45:00 AM,B - Scotia & N of Seven Oaks,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1135 49.9313)
05/14/2020 08:00:00 PM,C - Egerton & N of Bank,1,2,,,3,8,11,,,19,9,13,,,22,POINT (-97.0984 49.8622)
05/05/2020 02:15:00 PM,B - Scotia & N of Seven Oaks,9,5,,,14,12,5,,,17,21,10,,,31,POINT (-97.1135 49.9313)
05/12/2020 12:45:00 PM,B - Churchill & E of Eccles S,,,1,0,1,,,11,8,19,,,12,8,20,POINT (-97.116 49.8636)
05/14/2020 01:15:00 PM,B - Egerton & N of Clonard,0,0,,,0,0,1,,,1,0,1,,,1,POINT (-97.1 49.8666)
05/05/2020 07:15:00 PM,B - Scotia & N of Seven Oaks,9,10,,,19,8,9,,,17,17,19,,,36,POINT (-97.1135 49.9313)
05/06/2020 06:15:00 PM,B - Kildonan & N of Mossdale,2,1,,,3,10,12,,,22,12,13,,,25,POINT (-97.1066 49.9369)
05/12/2020 06:15:00 PM,A - Kings & S of Kings Park Entrance,12,15,,,27,0,5,,,5,12,20,,,32,POINT (-97.1295 49.7989)
05/06/2020 06:15:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,3,1,,,4,3,1,,,4,POINT (-97.1088 49.930400000000006)
05/12/2020 02:00:00 PM,B - Kilkenny & N of Prestwood,1,7,,,8,5,2,,,7,6,9,,,15,POINT (-97.1367 49.7926)
05/15/2020 06:15:00 AM,B - Assiniboine & E of Rouge,,,0,0,0,,,4,1,5,,,4,1,5,POINT (-97.3003 49.8657)
05/14/2020 08:30:00 PM,C - Assiniboine & W of Westwood,,,1,0,1,,,3,3,6,,,4,3,7,POINT (-97.2922 49.8654)
05/05/2020 02:30:00 PM,B - Wolseley & E of Garfield,,,5,16,21,,,18,23,41,,,23,39,62,POINT (-97.177 49.8796)
04/29/2020 07:30:00 PM,B - Wellington & W of Oak,,,61,53,114,,,47,37,84,,,108,90,198,POINT (-97.18031 49.876514)
